nature,date,heures,consommation,thermique,nucléaire,eolien,solaire,hydraulique,pompage,bioénergies,stockage_batterie,déstockage_batterie,eolien_terrestre,eolien_offshore,ech._physiques,flux_physiques_d'auvergne-rhône-alpes_vers_auvergne-rhône-alpes,flux_physiques_de_bourgogne-franche-comté_vers_auvergne-rhône-alpes,flux_physiques_de_bretagne_vers_auvergne-rhône-alpes,flux_physiques_de_centre-val_de_loire_vers_auvergne-rhône-alpes,flux_physiques_de_grand-est_vers_auvergne-rhône-alpes,flux_physiques_de_hauts-de-france_vers_auvergne-rhône-alpes,flux_physiques_d'ile-de-france_vers_auvergne-rhône-alpes,flux_physiques_de_normandie_vers_auvergne-rhône-alpes,flux_physiques_de_nouvelle-aquitaine_vers_auvergne-rhône-alpes,flux_physiques_d'occitanie_vers_auvergne-rhône-alpes,flux_physiques_de_pays-de-la-loire_vers_auvergne-rhône-alpes,flux_physiques_de_paca_vers_auvergne-rhône-alpes,flux_physiques_de_auvergne-rhône-alpes_vers_auvergne-rhône-alpes,flux_physiques_de_auvergne-rhône-alpes_vers_bourgogne-franche-comté,flux_physiques_de_auvergne-rhône-alpes_vers_bretagne,flux_physiques_de_auvergne-rhône-alpes_vers_centre-val_de_loire,flux_physiques_de_auvergne-rhône-alpes_vers_grand-est,flux_physiques_de_auvergne-rhône-alpes_vers_hauts-de-france,flux_physiques_de_auvergne-rhône-alpes_vers_ile-de-france,flux_physiques_de_auvergne-rhône-alpes_vers_normandie,flux_physiques_de_auvergne-rhône-alpes_vers_nouvelle-aquitaine,flux_physiques_de_auvergne-rhône-alpes_vers_occitanie,flux_physiques_de_auvergne-rhône-alpes_vers_pays-de-la-loire,flux_physiques_de_auvergne-rhône-alpes_vers_paca,flux_physiques_allemagne_vers_auvergne-rhône-alpes,flux_physiques_belgique_vers_auvergne-rhône-alpes,flux_physiques_espagne_vers_auvergne-rhône-alpes,flux_physiques_italie_vers_auvergne-rhône-alpes,flux_physiques_luxembourg_vers_auvergne-rhône-alpes,flux_physiques_royaume-uni_vers_auvergne-rhône-alpes,flux_physiques_suisse_vers_auvergne-rhône-alpes,flux_physiques_de_auvergne-rhône-alpes_vers_allemagne,flux_physiques_de_auvergne-rhône-alpes_vers_belgique,flux_physiques_de_auvergne-rhône-alpes_vers_espagne,flux_physiques_de_auvergne-rhône-alpes_vers_italie,flux_physiques_de_auvergne-rhône-alpes_vers_luxembourg,flux_physiques_de_auvergne-rhône-alpes_vers_royaume-uni,flux_physiques_de_auvergne-rhône-alpes_vers_suisse,tco_thermique_(%),tch_thermique_(%),tco_nucléaire_(%),tch_nucléaire_(%),tco_eolien_(%),tch_eolien_(%),tco_solaire_(%),tch_solaire_(%),tco_hydraulique_(%),tch_hydraulique_(%),tco_bioénergies_(%),tch_bioénergies_(%)
Données définitives,2021-03-16,04:30:00,8030.0,352.0,9812.0,290.0,0.0,2682.0,-1462.0,121.0,0,0,0,0,-3766.0,,1335,,868,,,,,23,587,,188,,869,,0,,,,,193,2377,,291,,,,0,,,2,,,,2226,,,814,4.38,32.68,122.19,72.31,3.61,51.88,0.0,0.0,33.4,22.74,1.51,64.71
Données consolidées,2024-10-22,00:00:00,6207.0,10.0,9525.0,245.0,0.0,4249.0,-560.0,117.0,0.0,0.0,0.0,0.0,-7379.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,1.0,153.46,70.19,3.95,33.06,0.0,0.0,68.45,37.27,1.88,61.9
Données définitives,2022-08-30,17:30:00,6938.0,347.0,6951.0,44.0,349.0,1565.0,-13.0,119.0,0.0,0.0,0.0,0.0,-2423.0,,,,,,,,,,,,,,175.0,,37.0,,,,,20.0,4112.0,,261.0,,,,,,,,,,,875.0,,,236.0,5.0,32.52,100.19,51.22,0.63,6.42,5.03,22.19,22.56,13.65,1.72,62.63
Données définitives,2022-03-22,06:00:00,8231.0,423.0,9629.0,312.0,0.0,1610.0,-3.0,126.0,0.0,0.0,0.0,0.0,-3865.0,,,,,,,,,,,,,,335.0,,27.0,,,,,72.0,3047.0,,285.0,,,,,,,,,,,1297.0,,,1009.0,5.14,40.25,116.98,70.96,3.79,43.64,0.0,0.0,19.56,14.32,1.53,58.06
Données temps réel,2025-10-30,11:00:00,7283.0,23.0,9564.0,71.0,1146.0,2646.0,-1033.0,66.0,-4,0,,,-5196.0,,1490,,0,,,,,41,247,,316,,-491,,0,,,,,-122,-1964,,-22,,,,0,,,81,,,,-3621,,,-639,0.32,2.34,131.32,70.48,0.97,9.7,15.74,33.61,36.33,23.11,0.91,34.92
Données définitives,2023-01-01,06:30:00,5534.0,159.0,7436.0,337.0,0.0,2287.0,-1772.0,117.0,0.0,0.0,0.0,0.0,-3031.0,,,,,,,,,,,,,,25.0,,152.0,,,,,66.0,5853.0,,622.0,,,,,,,,,,,200.0,,,240.0,2.87,16.24,134.37,54.8,6.09,46.61,0.0,0.0,41.33,20.06,2.11,61.26
Données temps réel,2025-10-03,01:00:00,5929.0,22.0,9508.0,37.0,0.0,1369.0,-808.0,66.0,0,0,,,-4267.0,,2968,,986,,,,,180,112,,83,,-298,,0,,,,,-15,-2958,,-84,,,,0,,,0,,,,-3314,,,-1171,0.37,2.23,160.36,70.07,0.62,5.05,0.0,0.0,23.09,11.96,1.11,32.84
Données définitives,2022-02-19,22:30:00,8426.0,203.0,10474.0,302.0,0.0,4838.0,-953.0,127.0,0.0,0.0,0.0,0.0,-6566.0,,,,,,,,,,,,,,26.0,,130.0,,,,,90.0,6930.0,,933.0,,,,,,,,,,,1646.0,,,758.0,2.41,19.1,124.31,77.18,3.58,44.09,0.0,0.0,57.42,42.25,1.51,66.49
Données définitives,2022-07-01,02:00:00,5774.0,233.0,9084.0,140.0,0.0,2494.0,-662.0,120.0,0.0,0.0,0.0,0.0,-5635.0,,,,,,,,,,,,,,879.0,,31.0,,,,,37.0,2742.0,,465.0,,,,,,,,,,,2687.0,,,832.0,4.04,21.84,157.33,66.94,2.42,20.44,0.0,0.0,43.19,21.76,2.08,63.16
Données définitives,2021-12-21,06:30:00,10141.0,629.0,12690.0,24.0,0.0,2673.0,-5.0,120.0,0,0,0,0,-5990.0,,520,,343,,,,,44,434,,176,,1052,,464,,,,,105,5970,,794,,,,979,,,378,,,,0,,,479,6.2,57.81,125.14,93.52,0.24,3.37,0.0,0.0,26.36,23.33,1.18,63.16
Données définitives,2021-08-01,13:00:00,5865.0,8.0,9000.0,106.0,605.0,3387.0,-346.0,115.0,0,0,0,0,-7011.0,,531,,417,,,,,26,105,,139,,913,,94,,,,,30,3655,,135,,,,0,,,12,,,,2273,,,1140,0.14,0.74,153.45,66.32,1.81,15.45,10.32,45.76,57.75,28.7,1.96,61.17
Données définitives,2023-11-17,23:00:00,7647.0,126.0,8410.0,115.0,0.0,4207.0,-13.0,121.0,0.0,0.0,0.0,0.0,-5319.0,,,,,,,,,,,,,,1114.0,,4.0,,,,,107.0,2920.0,,104.0,,,,,,,,,,,2495.0,,,375.0,1.65,12.54,109.98,61.97,1.5,15.88,0.0,0.0,55.02,36.89,1.58,64.36
Données définitives,2023-09-19,00:00:00,5871.0,13.0,9188.0,161.0,0.0,2866.0,-13.0,103.0,0.0,0.0,0.0,0.0,-6447.0,,,,,,,,,,,,,,425.0,,20.0,,,,,32.0,5085.0,,406.0,,,,,,,,,,,1742.0,,,913.0,0.22,1.29,156.5,67.71,2.74,22.24,0.0,0.0,48.82,25.13,1.75,54.79
Données définitives,2021-06-30,23:00:00,6555.0,407.0,9798.0,84.0,0.0,4791.0,-6.0,121.0,0,0,0,0,-8640.0,,151,,70,,,,,212,118,,89,,1389,,755,,,,,149,6158,,406,,,,0,,,1263,,,,1556,,,129,6.21,37.72,149.47,72.2,1.28,12.69,0.0,0.0,73.09,40.65,1.85,64.71
Données définitives,2022-06-29,11:30:00,7617.0,388.0,8666.0,23.0,1096.0,3161.0,-6.0,117.0,0.0,0.0,0.0,0.0,-5829.0,,,,,,,,,,,,,,1616.0,,382.0,,,,,76.0,3127.0,,185.0,,,,,,,,,,,1585.0,,,251.0,5.09,36.36,113.77,63.86,0.3,3.36,14.39,69.68,41.5,27.58,1.54,61.58
Données définitives,2021-05-14,13:30:00,6860.0,26.0,8917.0,183.0,662.0,4473.0,-4.0,107.0,0,0,0,0,-7503.0,,49,,91,,,,,41,695,,155,,1932,,24,,,,,116,2382,,90,,,,0,,,4,,,,2801,,,1194,0.38,2.41,129.99,65.71,2.67,29.66,9.65,52.13,65.2,37.95,1.56,57.22
Données définitives,2021-09-03,13:30:00,7228.0,68.0,9036.0,52.0,583.0,1651.0,-100.0,130.0,0,0,0,0,-4192.0,,1931,,790,,,,,138,72,,97,,109,,0,,,,,16,5385,,487,,,,2,,,191,,,,1210,,,204,0.94,6.27,125.01,66.59,0.72,7.59,8.07,42.77,22.84,13.99,1.8,69.15
Données définitives,2022-01-18,02:00:00,9989.0,693.0,12513.0,168.0,0.0,2453.0,-1174.0,111.0,0.0,0.0,0.0,0.0,-4775.0,,,,,,,,,,,,,,264.0,,81.0,,,,,28.0,6621.0,,820.0,,,,,,,,,,,0.0,,,481.0,6.94,65.19,125.27,92.21,1.68,24.53,0.0,0.0,24.56,21.42,1.11,58.12
Données temps réel,2025-04-21,18:30:00,5842.0,155.0,10379.0,59.0,529.0,2622.0,-1371.0,60.0,0,0,,,-6594.0,,12,,36,,,,,10,523,,402,,-2546,,-89,,,,,-154,-1445,,-21,,,,57,,,0,,,,-1467,,,-1358,2.65,15.48,177.66,76.48,1.01,7.96,9.06,23.69,44.88,23.0,1.03,31.75
Données temps réel,2025-07-23,03:00:00,5750.0,27.0,9085.0,29.0,0.0,2643.0,0.0,81.0,0,0,,,-6115.0,,1010,,0,,,,,120,155,,95,,-498,,0,,,,,-15,-2289,,-169,,,,0,,,0,,,,-3015,,,-817,0.47,2.74,158.0,66.95,0.5,3.96,0.0,0.0,45.97,23.08,1.41,40.3
Données consolidées,2024-04-10,05:30:00,4655.0,12.0,8781.0,331.0,0.0,3541.0,-459.0,98.0,0.0,0.0,0.0,0.0,-7649.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,1.2,188.64,64.71,7.11,44.67,0.0,0.0,76.07,31.06,2.11,51.85
Données consolidées,2024-07-15,02:30:00,5277.0,12.0,10126.0,83.0,0.0,4823.0,-13.0,123.0,0.0,0.0,0.0,0.0,-9878.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,1.2,191.89,74.62,1.57,11.2,0.0,0.0,91.4,42.3,2.33,65.08
Données définitives,2023-10-24,18:00:00,6625.0,214.0,8451.0,32.0,97.0,3455.0,-172.0,95.0,0.0,0.0,0.0,0.0,-5546.0,,,,,,,,,,,,,,2069.0,,2.0,,,,,144.0,2242.0,,221.0,,,,,,,,,,,1742.0,,,948.0,3.23,21.29,127.56,62.28,0.48,4.42,1.46,4.58,52.15,30.3,1.43,50.53
Données définitives,2022-08-02,18:30:00,6808.0,355.0,7852.0,78.0,564.0,2422.0,-99.0,114.0,0.0,0.0,0.0,0.0,-4478.0,,,,,,,,,,,,,,346.0,,331.0,,,,,24.0,4284.0,,449.0,,,,,,,,,,,1158.0,,,129.0,5.21,33.27,115.33,57.86,1.15,11.39,8.28,35.86,35.58,21.13,1.67,60.0
Données consolidées,2024-08-01,10:00:00,7344.0,5.0,10785.0,58.0,969.0,4373.0,-13.0,111.0,0.0,0.0,0.0,0.0,-8945.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.5,146.85,79.48,0.79,7.83,13.19,43.39,59.55,38.36,1.51,58.73
Données définitives,2021-07-02,08:30:00,6758.0,418.0,9879.0,39.0,274.0,4905.0,-12.0,128.0,0,0,0,0,-8873.0,,17,,0,,,,,46,238,,179,,3245,,572,,,,,236,3250,,154,,,,0,,,586,,,,2219,,,261,6.19,38.74,146.18,72.8,0.58,5.89,4.05,21.26,72.58,41.62,1.89,68.45
Données définitives,2023-05-30,01:00:00,4883.0,13.0,6823.0,38.0,0.0,3419.0,-22.0,123.0,0.0,0.0,0.0,0.0,-5511.0,,,,,,,,,,,,,,378.0,,0.0,,,,,6.0,3983.0,,500.0,,,,,,,,,,,2358.0,,,749.0,0.27,1.33,139.73,50.28,0.78,5.26,0.0,0.0,70.02,29.98,2.52,64.4
Données définitives,2021-02-09,19:00:00,9785.0,670.0,9667.0,216.0,0.0,7115.0,-8.0,113.0,0,0,0,0,-7989.0,,76,,103,,,,,65,247,,215,,2460,,286,,,,,228,4108,,187,,,,0,,,851,,,,1976,,,302,6.85,62.21,98.79,71.24,2.21,38.64,0.0,0.0,72.71,60.33,1.15,60.43
Données définitives,2023-12-26,04:30:00,7074.0,124.0,8194.0,122.0,0.0,2741.0,-1561.0,115.0,0.0,0.0,0.0,0.0,-2660.0,,,,,,,,,,,,,,48.0,,80.0,,,,,38.0,6160.0,,723.0,,,,,,,,,,,268.0,,,539.0,1.75,12.39,115.83,60.38,1.72,16.46,0.0,0.0,38.75,24.04,1.63,60.85
Données temps réel,2025-01-20,20:30:00,9394.0,585.0,12316.0,57.0,0.0,6015.0,0.0,35.0,0,0,,,-9615.0,,51,,0,,,,,83,408,,207,,-4095,,-524,,,,,-133,-3585,,-45,,,,0,,,1056,,,,-1451,,,-656,6.23,58.44,131.1,90.76,0.61,7.69,0.0,0.0,64.03,52.76,0.37,18.52
Données consolidées,2024-05-05,17:30:00,5716.0,6.0,7588.0,273.0,590.0,3286.0,-721.0,132.0,0.0,0.0,0.0,0.0,-5438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.6,132.75,55.92,4.78,36.84,10.32,26.42,57.49,28.82,2.31,69.84
Données consolidées,2024-02-27,10:00:00,9560.0,553.0,11369.0,428.0,191.0,5792.0,-14.0,94.0,0.0,0.0,0.0,0.0,-8855.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.78,55.24,118.92,83.78,4.48,57.76,2.0,8.55,60.59,50.8,0.98,49.74
Données définitives,2021-12-15,18:30:00,11103.0,685.0,12503.0,167.0,0.0,5415.0,-5.0,119.0,0,0,0,0,-7781.0,,115,,131,,,,,107,554,,176,,2205,,625,,,,,221,5887,,379,,,,32,,,1044,,,,260,,,364,6.17,62.96,112.61,92.14,1.5,23.42,0.0,0.0,48.77,47.26,1.07,62.63
Données définitives,2023-01-22,20:00:00,10551.0,515.0,13470.0,250.0,0.0,5976.0,-14.0,94.0,0.0,0.0,0.0,0.0,-9741.0,,,,,,,,,,,,,,2251.0,,803.0,,,,,224.0,6627.0,,269.0,,,,,,,,,,,2079.0,,,149.0,4.88,52.6,127.67,99.26,2.37,34.58,0.0,0.0,56.64,52.41,0.89,49.21
Données définitives,2023-07-09,13:30:00,6506.0,13.0,8478.0,116.0,1475.0,1668.0,-1287.0,125.0,0.0,0.0,0.0,0.0,-4082.0,,,,,,,,,,,,,,287.0,,6.0,,,,,33.0,4191.0,,369.0,,,,,,,,,,,988.0,,,261.0,0.2,1.33,130.31,62.48,1.78,16.04,22.67,80.95,25.64,14.63,1.92,65.45
Données définitives,2023-10-29,12:30:00,6115.0,13.0,7237.0,518.0,492.0,3070.0,-1134.0,112.0,0.0,0.0,0.0,0.0,-4193.0,,,,,,,,,,,,,,158.0,,1.0,,,,,30.0,2995.0,,180.0,,,,,,,,,,,1812.0,,,1315.0,0.21,1.29,118.35,53.33,8.47,71.55,8.05,23.23,50.2,26.92,1.83,59.57
Données définitives,2022-01-03,16:30:00,8656.0,268.0,11456.0,84.0,59.0,3386.0,-3.0,124.0,0.0,0.0,0.0,0.0,-6720.0,,,,,,,,,,,,,,188.0,,0.0,,,,,90.0,5638.0,,744.0,,,,,,,,,,,2469.0,,,756.0,3.1,25.21,132.35,84.42,0.97,12.26,0.68,3.95,39.12,29.57,1.43,64.92
Données consolidées,2024-08-18,04:30:00,4540.0,6.0,8968.0,133.0,0.0,2591.0,-500.0,126.0,0.0,0.0,0.0,0.0,-6784.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.6,197.53,66.09,2.93,17.95,0.0,0.0,57.07,22.73,2.78,66.67
Données temps réel,2025-10-03,14:00:00,6620.0,23.0,7926.0,41.0,953.0,1199.0,-874.0,66.0,0,0,,,-2713.0,,2020,,685,,,,,38,173,,152,,-127,,0,,,,,-14,-1823,,-13,,,,0,,,0,,,,-2314,,,-1006,0.35,2.34,119.73,58.41,0.62,5.6,14.4,28.88,18.11,10.47,1.0,32.84
Données définitives,2022-06-19,20:00:00,6265.0,319.0,6454.0,419.0,153.0,3706.0,-6.0,100.0,0.0,0.0,0.0,0.0,-4880.0,,,,,,,,,,,,,,177.0,,71.0,,,,,28.0,3539.0,,382.0,,,,,,,,,,,2568.0,,,375.0,5.09,29.9,103.02,47.56,6.69,61.17,2.44,9.73,59.15,32.33,1.6,52.63
Données consolidées,2024-09-17,12:00:00,7642.0,10.0,7418.0,290.0,681.0,1526.0,-847.0,113.0,0.0,0.0,0.0,0.0,-1549.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,1.0,97.07,54.66,3.79,39.14,8.91,30.5,19.97,13.38,1.48,59.79
Données définitives,2022-07-23,07:30:00,5519.0,431.0,6606.0,57.0,53.0,1845.0,-582.0,114.0,0.0,0.0,0.0,0.0,-3005.0,,,,,,,,,,,,,,132.0,,99.0,,,,,23.0,2957.0,,290.0,,,,,,,,,,,1516.0,,,224.0,7.81,40.39,119.7,48.68,1.03,8.32,0.96,3.37,33.43,16.1,2.07,60.0
Données définitives,2022-08-09,11:30:00,6584.0,374.0,7553.0,41.0,1112.0,1233.0,-583.0,122.0,0.0,0.0,0.0,0.0,-3268.0,,,,,,,,,,,,,,95.0,,41.0,,,,,20.0,2975.0,,280.0,,,,,,,,,,,590.0,,,889.0,5.68,35.05,114.72,55.66,0.62,5.99,16.89,70.69,18.73,10.76,1.85,64.21
Données temps réel,2025-03-01,15:30:00,7603.0,122.0,9136.0,148.0,867.0,1745.0,-2245.0,58.0,0,0,,,-2229.0,,1808,,1771,,,,,30,536,,171,,-340,,0,,,,,-85,-1731,,-57,,,,0,,,14,,,,-2646,,,-1207,1.6,12.19,120.16,67.32,1.95,19.97,11.4,38.83,22.95,15.31,0.76,30.69
Données consolidées,2024-02-28,11:30:00,9583.0,565.0,11452.0,149.0,391.0,5320.0,-14.0,111.0,0.0,0.0,0.0,0.0,-8390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,56.44,119.5,84.39,1.55,20.11,4.08,17.51,55.51,46.66,1.16,58.73
Données définitives,2022-04-11,14:30:00,7997.0,50.0,8893.0,419.0,1018.0,2289.0,-1394.0,103.0,0.0,0.0,0.0,0.0,-3381.0,,,,,,,,,,,,,,402.0,,35.0,,,,,143.0,3036.0,,400.0,,,,,,,,,,,1528.0,,,443.0,0.63,4.76,111.2,65.53,5.24,58.6,12.73,64.68,28.62,20.36,1.29,47.47
Données définitives,2023-01-04,09:30:00,8923.0,174.0,11240.0,172.0,144.0,3057.0,-13.0,100.0,0.0,0.0,0.0,0.0,-5951.0,,,,,,,,,,,,,,61.0,,4.0,,,,,115.0,5910.0,,781.0,,,,,,,,,,,2375.0,,,742.0,1.95,17.77,125.97,82.83,1.93,23.79,1.61,7.9,34.26,26.81,1.12,52.36
Données temps réel,2025-10-15,21:00:00,6637.0,427.0,7490.0,79.0,0.0,2872.0,-1.0,66.0,0,0,,,-4295.0,,1011,,776,,,,,31,145,,355,,-689,,0,,,,,-17,-2119,,-21,,,,0,,,325,,,,-2596,,,-861,6.43,43.44,112.85,55.2,1.19,10.79,0.0,0.0,43.27,25.09,0.99,34.92
Données définitives,2023-09-28,10:00:00,6931.0,9.0,8663.0,1.0,633.0,1754.0,-13.0,121.0,0.0,0.0,0.0,0.0,-4237.0,,,,,,,,,,,,,,534.0,,0.0,,,,,7.0,4123.0,,238.0,,,,,,,,,,,950.0,,,187.0,0.13,0.9,124.99,63.84,0.01,0.14,9.13,29.89,25.31,15.38,1.75,64.36
Données temps réel,2025-06-29,07:30:00,5478.0,25.0,8743.0,98.0,337.0,2921.0,-173.0,80.0,0,0,,,-6554.0,,563,,32,,,,,47,78,,128,,-421,,0,,,,,-12,-2420,,-66,,,,0,,,0,,,,-3106,,,-603,0.46,2.54,159.6,64.43,1.79,13.39,6.15,10.21,53.32,25.51,1.46,39.8
Données définitives,2023-04-17,16:30:00,7688.0,14.0,11010.0,270.0,592.0,2137.0,-971.0,86.0,0.0,0.0,0.0,0.0,-5450.0,,,,,,,,,,,,,,1391.0,,0.0,,,,,184.0,2936.0,,179.0,,,,,,,,,,,2346.0,,,1233.0,0.18,1.43,143.21,81.13,3.51,37.34,7.7,32.49,27.8,18.74,1.12,45.03
Données définitives,2023-05-18,08:30:00,6061.0,12.0,9861.0,194.0,290.0,3527.0,-22.0,118.0,0.0,0.0,0.0,0.0,-7920.0,,,,,,,,,,,,,,1747.0,,184.0,,,,,61.0,2927.0,,210.0,,,,,,,,,,,2706.0,,,1133.0,0.2,1.23,162.7,72.67,3.2,26.83,4.78,15.92,58.19,30.93,1.95,61.78
Données définitives,2022-05-03,07:30:00,6855.0,52.0,6972.0,10.0,73.0,4256.0,-5.0,121.0,0.0,0.0,0.0,0.0,-4623.0,,,,,,,,,,,,,,1239.0,,0.0,,,,,282.0,1953.0,,161.0,,,,,,,,,,,1493.0,,,705.0,0.76,4.95,101.71,51.38,0.15,1.4,1.06,4.64,62.09,37.86,1.77,55.76
Données temps réel,2025-07-07,09:00:00,6975.0,27.0,7296.0,180.0,719.0,2527.0,-10.0,81.0,0,0,,,-3846.0,,644,,36,,,,,108,134,,299,,-562,,0,,,,,-15,-2063,,-24,,,,46,,,584,,,,-2275,,,-160,0.39,2.74,104.6,53.77,2.58,24.59,10.31,21.79,36.23,22.07,1.16,40.3
Données définitives,2023-02-25,03:00:00,6989.0,501.0,11969.0,105.0,0.0,1377.0,-584.0,119.0,0.0,0.0,0.0,0.0,-6499.0,,,,,,,,,,,,,,98.0,,534.0,,,,,65.0,6384.0,,563.0,,,,,,,,,,,1823.0,,,223.0,7.17,51.17,171.25,88.2,1.5,14.52,0.0,0.0,19.7,12.08,1.7,62.3
Données définitives,2021-03-13,18:00:00,7148.0,195.0,8433.0,365.0,39.0,2704.0,-1315.0,128.0,0,0,0,0,-3402.0,,2126,,1083,,,,,79,246,,74,,107,,0,,,,,59,3217,,349,,,,0,,,2,,,,2112,,,1167,2.73,18.11,117.98,62.14,5.11,65.3,0.55,3.28,37.83,22.93,1.79,68.45
Données consolidées,2024-06-07,20:00:00,6556.0,9.0,8599.0,21.0,139.0,5154.0,-22.0,104.0,0.0,0.0,0.0,0.0,-7449.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.9,131.16,63.37,0.32,2.83,2.12,6.22,78.62,45.21,1.59,55.03
Données définitives,2021-05-11,09:30:00,7602.0,66.0,7403.0,108.0,174.0,5018.0,-4.0,96.0,0,0,0,0,-5258.0,,117,,119,,,,,32,339,,170,,1399,,107,,,,,61,2710,,351,,,,0,,,426,,,,1511,,,321,0.87,6.12,97.38,54.55,1.42,17.5,2.29,13.7,66.01,42.58,1.26,51.34
Données définitives,2023-12-09,07:30:00,7816.0,139.0,11020.0,188.0,0.0,3663.0,-971.0,115.0,0.0,0.0,0.0,0.0,-6338.0,,,,,,,,,,,,,,1320.0,,5.0,,,,,179.0,3438.0,,249.0,,,,,,,,,,,2927.0,,,2250.0,1.78,13.89,140.99,81.21,2.41,25.37,0.0,0.0,46.87,32.13,1.47,60.85
Données définitives,2022-07-15,11:30:00,7233.0,281.0,7074.0,84.0,1053.0,2124.0,-12.0,118.0,0.0,0.0,0.0,0.0,-3490.0,,,,,,,,,,,,,,291.0,,11.0,,,,,20.0,2501.0,,303.0,,,,,,,,,,,2306.0,,,242.0,3.88,26.34,97.8,52.13,1.16,12.26,14.56,66.94,29.37,18.53,1.63,62.11
Données définitives,2021-01-05,06:30:00,9931.0,580.0,10727.0,30.0,0.0,3308.0,-3.0,116.0,0,0,0,0,-4828.0,,1279,,364,,,,,238,361,,131,,244,,157,,,,,91,7303,,806,,,,956,,,730,,,,45,,,242,5.84,53.85,108.02,79.05,0.3,5.37,0.0,0.0,33.31,28.05,1.17,62.03
Données définitives,2021-12-31,15:30:00,7183.0,181.0,9473.0,62.0,328.0,3028.0,-2013.0,127.0,0.0,0.0,0.0,0.0,-4003.0,,1738,,908,,,,,129,563,,285,,61.0,,0.0,,,,,230.0,3852.0,,548.0,,,,0,,,4,,,,2338.0,,,602.0,2.52,16.64,131.88,69.81,0.86,8.7,4.57,23.21,42.16,26.42,1.77,66.84
Données définitives,2023-07-31,02:30:00,4789.0,8.0,6632.0,156.0,0.0,2048.0,-1039.0,137.0,0.0,0.0,0.0,0.0,-3151.0,,,,,,,,,,,,,,78.0,,0.0,,,,,16.0,4327.0,,604.0,,,,,,,,,,,1787.0,,,555.0,0.17,0.82,138.48,48.87,3.26,21.58,0.0,0.0,42.76,17.96,2.86,71.73
Données définitives,2023-02-25,01:30:00,7263.0,520.0,12174.0,53.0,0.0,2286.0,-15.0,119.0,0.0,0.0,0.0,0.0,-7873.0,,,,,,,,,,,,,,295.0,,716.0,,,,,88.0,6666.0,,616.0,,,,,,,,,,,1886.0,,,214.0,7.16,53.12,167.62,89.71,0.73,7.33,0.0,0.0,31.47,20.05,1.64,62.3
Données définitives,2021-07-27,02:30:00,5469.0,9.0,7835.0,34.0,0.0,3163.0,-22.0,125.0,0,0,0,0,-5676.0,,1031,,698,,,,,150,98,,63,,335,,0,,,,,16,4216,,454,,,,0,,,54,,,,2467,,,281,0.16,0.83,143.26,57.74,0.62,5.14,0.0,0.0,57.84,26.84,2.29,66.84
Données temps réel,2025-06-19,18:00:00,7023.0,26.0,9480.0,33.0,1291.0,3169.0,-822.0,80.0,-1,0,,,-6233.0,,418,,673,,,,,29,451,,256,,-949,,0,,,,,-17,-2508,,-16,,,,0,,,283,,,,-3266,,,-814,0.37,2.64,134.99,69.86,0.47,4.51,18.38,39.12,45.12,27.68,1.14,39.8
Données définitives,2023-06-27,21:30:00,6150.0,8.0,9124.0,222.0,8.0,4136.0,-13.0,124.0,0.0,0.0,0.0,0.0,-7458.0,,,,,,,,,,,,,,1678.0,,268.0,,,,,48.0,5269.0,,377.0,,,,,,,,,,,1825.0,,,183.0,0.13,0.82,148.36,67.24,3.61,30.71,0.13,0.44,67.25,36.27,2.02,64.92
Données consolidées,2024-02-19,16:30:00,8062.0,134.0,11494.0,227.0,309.0,4250.0,-92.0,119.0,0.0,0.0,0.0,0.0,-8379.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66,13.39,142.57,84.7,2.82,30.63,3.83,13.84,52.72,37.28,1.48,62.96
Données définitives,2021-12-29,08:00:00,7939.0,197.0,11792.0,300.0,0.0,4029.0,-5.0,113.0,0.0,0.0,0.0,0.0,-8488.0,,426,,470,,,,,161,517,,194,,1416.0,,0.0,,,,,208.0,4028.0,,421.0,,,,0,,,4,,,,2827.0,,,1359.0,2.48,18.11,148.53,86.9,3.78,42.08,0.0,0.0,50.75,35.16,1.42,59.47
Données temps réel,2025-01-11,04:30:00,7554.0,132.0,12266.0,119.0,0.0,3751.0,-1123.0,38.0,0,0,,,-7631.0,,459,,842,,,,,61,451,,261,,-1856,,0,,,,,-239,-1913,,-40,,,,0,,,66,,,,-3766,,,-1433,1.75,13.19,162.38,90.39,1.58,16.06,0.0,0.0,49.66,32.9,0.5,20.11
